fixture,round,team_home,uniqueid_home,team_away,uniqueid_away,team_home_gs,team_home_gc,team_away_gs,team_away_gc,team_home_win,team_home_draw,team_home_loss,team_away_win,team_away_draw,team_away_loss
208,21,15,23,14,11,0,2,2,0,0,0,1,1,0,0
204,21,6,4,16,13,0,0,0,0,0,1,0,0,1,0
203,21,5,24,17,17,0,3,3,0,0,0,1,1,0,0
220,22,19,20,1,1,1,0,0,1,1,0,0,0,0,1
212,22,4,3,9,25,2,1,1,2,1,0,0,0,0,1
213,22,5,24,10,22,0,0,0,0,0,1,0,0,1,0
215,22,7,5,18,18,1,2,2,1,0,0,1,1,0,0
218,22,13,10,20,26,3,0,0,3,1,0,0,0,0,1
211,22,3,21,12,9,0,1,1,0,0,0,1,1,0,0
216,22,8,6,2,2,2,0,0,2,1,0,0,0,0,1
217,22,11,8,16,13,1,2,2,1,0,0,1,1,0,0
219,22,17,17,14,11,0,1,1,0,0,0,1,1,0,0
214,22,6,4,15,23,2,1,1,2,1,0,0,0,0,1
222,23,2,2,19,20,2,0,0,2,1,0,0,0,0,1
229,23,18,18,4,3,0,0,0,0,0,1,0,0,1,0
224,23,10,22,13,10,0,3,3,0,0,0,1,1,0,0
221,23,1,1,6,4,2,0,0,2,1,0,0,0,0,1
225,23,12,9,7,5,4,3,3,4,1,0,0,0,0,1
223,23,9,25,17,17,1,2,2,1,0,0,1,1,0,0
230,23,20,26,11,8,4,3,3,4,1,0,0,0,0,1
228,23,16,13,8,6,2,1,1,2,1,0,0,0,0,1
226,23,14,11,3,21,2,1,1,2,1,0,0,0,0,1
227,23,15,23,5,24,3,0,0,3,1,0,0,0,0,1
236,24,20,26,19,20,3,0,0,3,1,0,0,0,0,1
235,24,14,11,4,3,2,2,2,2,0,1,0,0,1,0
234,24,10,22,8,6,0,1,1,0,0,0,1,1,0,0
231,24,1,1,5,24,2,1,1,2,1,0,0,0,0,1
239,24,16,13,7,5,1,1,1,1,0,1,0,0,1,0
240,24,17,17,18,18,2,1,1,2,1,0,0,0,0,1
233,24,9,25,3,21,4,2,2,4,1,0,0,0,0,1
237,24,12,9,11,8,1,1,1,1,0,1,0,0,1,0
232,24,2,2,6,4,4,0,0,4,1,0,0,0,0,1
238,24,15,23,13,10,2,1,1,2,1,0,0,0,0,1
250,25,19,20,12,9,1,1,1,1,0,1,0,0,1,0
242,25,4,3,16,13,1,1,1,1,0,1,0,0,1,0
244,25,6,4,10,22,5,0,0,5,1,0,0,0,0,1
248,25,13,10,1,1,3,1,1,3,1,0,0,0,0,1
245,25,7,5,9,25,2,0,0,2,1,0,0,0,0,1
241,25,3,21,18,18,0,0,0,0,0,1,0,0,1,0
246,25,8,6,20,26,1,3,3,1,0,0,1,1,0,0
243,25,5,24,2,2,2,0,0,2,1,0,0,0,0,1
266,25,8,6,13,10,0,2,2,0,0,0,1,1,0,0
247,25,11,8,14,11,0,1,1,0,0,0,1,1,0,0
249,25,17,17,15,23,1,0,0,1,1,0,0,0,0,1
252,26,7,5,19,20,1,1,1,1,0,1,0,0,1,0
251,26,3,21,4,3,1,3,3,1,0,0,1,1,0,0
254,26,10,22,1,1,1,2,2,1,0,0,1,1,0,0
259,26,18,18,8,6,1,0,0,1,1,0,0,0,0,1
253,26,9,25,14,11,0,3,3,0,0,0,1,1,0,0
260,26,20,26,15,23,1,1,1,1,0,1,0,0,1,0
255,26,12,9,2,2,3,0,0,3,1,0,0,0,0,1
258,26,17,17,11,8,3,1,1,3,1,0,0,0,0,1
257,26,16,13,5,24,1,2,2,1,0,0,1,1,0,0
256,26,13,10,6,4,6,0,0,6,1,0,0,0,0,1
270,27,19,20,9,25,3,1,1,3,1,0,0,0,0,1
263,27,4,3,17,17,2,1,1,2,1,0,0,0,0,1
269,27,15,23,10,22,2,0,0,2,1,0,0,0,0,1
261,27,1,1,16,13,2,0,0,2,1,0,0,0,0,1
267,27,11,8,7,5,1,4,4,1,0,0,1,1,0,0
264,27,5,24,18,18,1,5,5,1,0,0,1,1,0,0
262,27,2,2,20,26,1,1,1,1,0,1,0,0,1,0
268,27,14,11,12,9,0,0,0,0,0,1,0,0,1,0
278,28,13,10,19,20,1,0,0,1,1,0,0,0,0,1
279,28,15,23,4,3,2,0,0,2,1,0,0,0,0,1
